,sp,d,fr,sk,sd,n,seed,dens,disc,mxmin,mnmax,eOpt,covCon,delaunayErrEst0.1,rbfErrEst0.1,gpErrEst0.1,delaunayIntError0.1,rbfIntError0.1,gpIntError0.1,mlpIntErr0.1,delaunayErrEst2.0,rbfErrEst2.0,gpErrEst2.0,delaunayIntError2.0,rbfIntError2.0,gpIntError2.0,mlpIntErr2.0
30,sob,5,0.0,10.0,1.0,256,0,8.0,1.1967641777491518,0.0196897229449164,1.9185706237587672,0.0117550077265746,0.0012725169141116,42.051264135269726,10.134925349526462,0.2482175012408867,0.0409089834005781,0.5046978600618909,0.0860209901038742,0.6558850468741125,219.8220622079912,192.2298066347903,0.2482175012408867,0.1538724949490548,1.439942244293141,0.2567452668622973,11.437554349084447
31,sob,5,0.0,10.0,1.0,256,1,8.0,1.1968207684137455,0.0164819784106204,1.923153136881576,0.0117560747878491,0.0012726324553289,6.517594760524101,7.50251650875881,0.2600043289614718,0.016705384709997,0.45283193298635,0.0941351237982087,0.0497215522847945,131.45477573816677,89.9582258651661,0.2600043289614718,0.0985560789954434,0.0896771848334586,0.0859323499575811,3.784261115699312
32,sob,5,0.0,10.0,1.0,256,2,8.0,1.1967584915434903,0.0196805605030747,1.9225456712363425,0.0117560872860085,0.0012726337798478,3.0894108296255105,9.582822038776513,0.2501653415309854,0.0221061863771785,0.3482417931818611,0.0780639105005723,0.4659654417896522,169.1631253674422,118.1021708954886,0.2501653415309854,0.2213419065814668,1.248719690201798,0.1460553680396321,0.0796170101727748
33,sob,5,0.0,10.0,1.0,256,3,8.0,1.1967519248664271,0.0111033866327902,1.9199168853668724,0.0117560716066579,0.0012726320639395,17.734186324453002,1.932096697086352,0.2605167100292774,0.0276571783636321,0.2581852587843835,0.0844009275545101,0.235163339112021,376.73367655188656,258.9607247606466,0.2605167100292774,0.2771079576021759,1.6560031157236796,0.3117773342613715,7.159853049423736
34,sob,5,0.0,10.0,1.0,256,4,8.0,1.1967829726710613,0.0278878958021009,1.9231184310845104,0.0117560869539231,0.0012726328784436,14.243682301020865,10.6622541334163,0.2639059999205033,0.1604284721778843,0.3758523029927815,0.089658170590156,0.5679042554036751,122.63772391811416,73.67923493470384,0.2639059999205033,0.4320799020484506,0.4665042302377784,0.5200293434289188,7.035702009651062
35,sob,5,0.0,10.0,1.0,4096,0,128.0,1.1967580224736136,0.0042795707862688,1.9036858797860308,0.0470243499373648,0.0012726338013189,53.86046838765763,11.607024239323568,0.2632970653148955,0.0690816237885848,0.5802272324574228,0.090075713759396,0.369415862864013,324.5432546625683,220.263531431294,0.2632970653148955,0.3357584931939457,0.2949661847111573,0.2526905432067755,19.754419686615403
36,sob,5,0.0,10.0,1.0,4096,1,128.0,1.196809588516213,0.005790268343868,1.9029713385475933,0.0470243499381344,0.0012726338297853,79.47984121488584,9.036331171890778,0.2624966576161802,0.0706643106719028,0.5595759218447949,0.0928889594708546,0.6072206273013392,105.24785252634338,108.51846354764224,0.2624966576161802,0.1988703461353547,0.9447896364388848,0.0871785142849352,3.7849961987921694
37,sob,5,0.0,10.0,1.0,4096,2,128.0,1.1967580123586825,0.0054302322338979,1.9038785370492035,0.0470243499380866,0.0012726338013385,37.40637595173112,10.988469810994117,0.2639726382743676,0.0599566353951348,0.5861186766548009,0.0838024974044449,0.2716354143067572,192.7730819022788,135.50202256859976,0.2639726382743676,0.235759794096166,0.8131809178153027,0.1403167811357596,3.337906440062413
38,sob,5,0.0,10.0,1.0,4096,3,128.0,1.1967580219429197,0.0051530569582155,1.904121414665122,0.0470243499381347,0.0012726338013398,338.9296999406757,2.305461853631832,0.2629266457891162,0.0714899597437619,0.2824100377408194,0.0836076251004511,0.0345158698056725,535.0892935973277,311.14022164448994,0.2629266457891162,0.2806954090786456,1.5678278134413977,0.3125706367154306,8.157832248558831
39,sob,5,0.0,10.0,1.0,4096,4,128.0,1.196758016238598,0.006099630283472474,1.903378124087504,0.047024349937364825,0.0012726338013189721,333.4129179024856,12.405976640809367,0.26588950099842856,0.013389566243873385,0.5839246678265578,0.08866642005119335,0.6203284350225737,52.43429138953876,85.77466167458145,0.26588950099842856,0.6229188496861805,0.9647552861432489,0.5210210939678814,2.4406193190763057
